"","pollutant_id","pollutant_averaging","date","pollutant_value","pollutant_unit","station_id","X","Y","ID_estacion","method_id"
"59","NO2",1,2021-01-03 10:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"60","NO2",1,2021-01-03 11:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"61","NO2",1,2021-01-03 12:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"62","NO2",1,2021-01-03 13:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"63","NO2",1,2021-01-03 14:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"64","NO2",1,2021-01-03 15:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"65","NO2",1,2021-01-03 16:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"66","NO2",1,2021-01-03 17:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"67","NO2",1,2021-01-03 18:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"68","NO2",1,2021-01-03 19:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"69","NO2",1,2021-01-03 20:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"70","NO2",1,2021-01-03 21:00:00,8,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"71","NO2",1,2021-01-03 22:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"72","NO2",1,2021-01-03 23:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"73","NO2",1,2021-01-04 00:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"74","NO2",1,2021-01-04 01:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"75","NO2",1,2021-01-04 02:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"76","NO2",1,2021-01-04 03:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"77","NO2",1,2021-01-04 04:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"78","NO2",1,2021-01-04 05:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"79","NO2",1,2021-01-04 06:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"80","NO2",1,2021-01-04 07:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"81","NO2",1,2021-01-04 08:00:00,7,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"82","NO2",1,2021-01-04 09:00:00,12,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"83","NO2",1,2021-01-04 10:00:00,9,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"84","NO2",1,2021-01-04 11:00:00,10,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"85","NO2",1,2021-01-04 12:00:00,7,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"86","NO2",1,2021-01-04 13:00:00,5,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
"87","NO2",1,2021-01-04 14:00:00,6,"ug/m3","UYMVD_E6",579229,6142255,"Curva de  Maronas","UYMVD_NO2_2"
